"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Tx","pose_Ty","pose_Tz","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r"
-0.442093,-0.149448,-0.884431,-0.571335,-0.129195,-0.810484,-0.539,-0.163,115.2,-58.3,1013,-0.345,0.699,0.123,0.01,0.29,0.13,0,0,0.49,0.06,0.09,0,0.9,0,0.13,0,0.74,0
-0.429362,-0.202699,-0.880092,-0.566888,-0.178079,-0.804317,-0.534,-0.222,112.8,-56,998,-0.428,0.678,0.141,0.01,0.55,0.14,0.07,0,0.8,0.06,0.09,0,1.27,0.01,0.29,0,0.89,0
-0.438972,-0.233895,-0.867523,-0.573717,-0.203941,-0.793257,-0.548,-0.258,111.3,-54.4,984.9,-0.483,0.691,0.152,0.09,0.96,0.17,0.19,0,0.93,0.06,0.06,0,1.41,0.07,0.49,0,0.49,0
-0.443438,-0.251304,-0.860354,-0.575348,-0.217777,-0.788383,-0.553,-0.277,110.3,-53.3,976.2,-0.515,0.698,0.149,0.19,1.28,0.17,0.39,0,1.03,0,0.03,0,1.36,0.22,0.49,0,0.22,0
-0.445103,-0.264038,-0.855668,-0.576889,-0.229117,-0.784031,-0.557,-0.292,109.3,-52.4,968.1,-0.541,0.701,0.146,0.37,1.59,0.23,0.5,0,0.94,0,0.03,0,1.42,0.29,0.43,0,0.06,0
-0.445023,-0.276665,-0.85171,-0.577109,-0.240027,-0.780598,-0.559,-0.307,108.9,-51.9,964.7,-0.561,0.702,0.144,0.57,2.03,0.23,0.6,0,0.68,0,0.01,0,1.42,0.36,0.34,0,0,0
-0.446312,-0.296454,-0.844347,-0.57928,-0.25703,-0.773544,-0.565,-0.33,108.7,-51.7,964.2,-0.59,0.705,0.148,0.81,2.5,0.16,0.56,0,0.32,0,0,0,1.46,0.2,0.38,0,0.1,0
-0.447329,-0.308687,-0.83941,-0.580754,-0.267537,-0.768862,-0.569,-0.344,108.6,-51.4,963.3,-0.611,0.709,0.149,1,2.87,0.16,0.54,0,0.2,0,0,0,1.5,0.25,0.45,0,0.13,0.02
-0.444807,-0.318169,-0.837207,-0.580763,-0.277466,-0.765328,-0.569,-0.356,108.3,-51,960.5,-0.629,0.71,0.139,1.09,2.95,0.19,0.49,0,0.16,0,0,0,1.35,0.13,0.44,0,0.17,0.02
-0.446537,-0.329047,-0.832066,-0.582974,-0.28674,-0.760212,-0.574,-0.369,107.7,-50.4,955.7,-0.648,0.714,0.133,1.08,2.85,0.16,0.54,0,0.13,0,0,0,1.11,0.16,0.35,0,0.08,0.03
