"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
-0.015473,0.0349,-0.999271,-0.158617,0.035695,-0.986695,-0.087,0.036,0.064,0.147,0.051,0,0.02,0.59,0.58,0,0.69,0,0,0,0.58,0,0.11,0.22,0.59,0.07,0.07,0
0.014176,-0.036913,-0.999218,-0.162503,-0.044257,-0.985715,-0.075,-0.041,-0.131,0.041,0.011,0,0,0,0,0,0.78,0,0,0,0,0.02,0.36,0.12,0.28,0.41,0.86,0
0.121546,-0.085085,-0.988932,-0.036343,-0.13669,-0.989947,0.043,-0.112,-0.132,-0.094,0.081,0.21,0,0,0.6,0,0,0,0,0,0,0.07,0.34,0,0.02,0.38,0.46,0
0.084657,-0.050759,-0.995116,-0.104913,-0.089834,-0.990416,-0.01,-0.071,-0.145,-0.111,0.038,0,0,0,0,0,0.45,0,0,0,0,0.06,1.15,0,0.22,0,1,0
0.022719,-0.033343,-0.999186,-0.155806,-0.059858,-0.985972,-0.067,-0.047,-0.124,0.034,-0.02,0,0,0,0.14,0,0.73,0.02,0,0,0,0,0.61,0.06,0.05,0.29,0.94,0.02
0.056646,-0.011528,-0.998328,-0.083053,-0.042306,-0.995647,-0.013,-0.027,-0.095,-0.033,-0.023,0,0,0,0,0,0,0,0,0,0,0.12,0.46,0.22,0.09,0.27,0.68,0
0.174848,-0.031906,-0.984078,-0.040712,-0.06171,-0.997263,0.068,-0.047,-0.135,0.03,0.004,0,0,0,0.94,0,0.18,0,0,0,0,0.12,0.69,0.22,0.49,0.14,0.87,0
0.049679,0.191062,-0.98032,-0.073664,0.208249,-0.975298,-0.012,0.201,0.179,-0.012,0.027,0,0,0.1,0,0,0.06,0,0,0,0,0,0.52,0,0,0,0.2,0.01
0.034143,-0.043353,-0.998476,-0.092822,-0.025014,-0.995368,-0.029,-0.034,-0.097,-0.015,-0.047,0.02,0.02,0,0,0,0,0,0,0,0,0.1,1.07,0,0,0.01,0.45,0.07
0.008092,-0.040061,-0.999164,-0.165424,-0.077855,-0.983145,-0.079,-0.059,-0.135,0.017,-0.004,0.04,0,0,0,0,0.35,0,0,0,0,0,0.34,0,0,0.27,0.65,0.15
0.057517,0.063457,-0.996326,-0.10633,0.062735,-0.99235,-0.025,0.063,0.044,0.071,-0.009,0,0.09,1.13,0,0.24,0.76,0.16,0,0,1.21,0,0.11,0,0,0.01,0,0.07
0.137041,0.19574,-0.971033,-0.027904,0.189843,-0.981418,0.056,0.195,0.142,0.116,-0.008,0.29,0.26,1.36,0,0,0.68,0,0,0,0.28,0.15,0.14,0,0,0.8,1.46,0.18
0.049987,0.065048,-0.996629,-0.107837,0.067341,-0.991885,-0.029,0.066,0.044,0.059,-0.012,0.17,0,1.18,0.06,0,0.02,0,0,0,0.54,0.15,0.04,0,0,0,0,0.13
-0.032826,0.000414,-0.999461,-0.180821,-0.001644,-0.983515,-0.107,-0.001,-0.023,0.16,0.102,0.29,0,0.42,0.36,0,0,0,0,0,0,0.4,0.11,0.1,0,0.91,1.09,0
0.040005,0.072052,-0.996598,-0.12097,0.071753,-0.990059,-0.041,0.072,0.06,0.08,0.011,0,0,1.3,0,0.17,0.76,0.33,0,0,1.15,0,0.13,0,0,0.02,0,0
0.06976,-0.041319,-0.996708,-0.111866,-0.076708,-0.990758,-0.021,-0.059,-0.171,-0.024,0.066,0.22,0.09,0,0,0,1.58,0,0,0,0,0,0.01,0.16,0.42,0.29,0.25,0.36
0.053617,0.119055,-0.991439,-0.076102,0.093185,-0.992736,-0.011,0.107,0.001,0.028,0.03,0,0,0.32,0,0,0,0,0,0,0,0,0,0.01,0,0.32,0,0.3
0.109643,-0.032326,-0.993445,0.005867,-0.063348,-0.997974,0.058,-0.048,-0.116,-0.11,0.049,0,0.02,0,0,0,0.1,0,0,0,0,0.07,0.93,0.04,0,0.11,0.39,0.19
0.114121,-0.094011,-0.989009,-0.056654,-0.135461,-0.989162,0.029,-0.115,-0.158,-0.03,0.052,0.03,0.03,0,0,0,0.59,0,0,0,0,0,0.05,0,0.21,0.28,0.03,0.06
0.098042,-0.007611,-0.995153,-0.056782,-0.011899,-0.998316,0.021,-0.01,-0.104,-0.009,0.031,0.07,0,1.38,0.22,0,1.48,0.8,0,0,0,0,0.08,0.07,0.19,0,0,0
0.055486,0.089576,-0.994433,-0.125377,0.097543,-0.987302,-0.035,0.094,0.034,0.09,-0.045,0.07,0,1.09,0,0,0,0.04,0,0,0.11,0.01,0.02,0,0,0.1,0,1.39
0.15088,0.125602,-0.98054,-0.008348,0.123738,-0.99228,0.072,0.126,0.094,-0.076,0.034,0,0.33,0,0.29,0,0,0,0,0,0,0.05,0.04,0,0,0.7,0,0
0.047274,0.034704,-0.998279,-0.110025,0.040437,-0.993106,-0.032,0.038,0.007,0.07,-0.015,0.09,0,0.91,0,0,0.05,0,0,0,0.02,0,0.31,0,0,0.25,0.05,0
0.105653,0.053155,-0.992981,-0.065316,0.056724,-0.996251,0.02,0.055,-0.021,-0.008,0.003,0.14,0.05,0,0,0,0,0,0,0,0,0.19,0,0.14,0,0.6,0,0.07
0.029492,-0.043744,-0.998607,-0.102147,-0.037852,-0.994049,-0.036,-0.041,-0.101,-0.009,-0.047,0.13,0.04,0,0,0,0,0,0,0,0,0.01,1.19,0,0.19,0,0.99,0.01
0.024548,-0.093666,-0.995301,-0.115479,-0.073878,-0.990559,-0.046,-0.084,-0.101,-0.008,-0.047,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0.24,0,0.85,0
0.097,0.161668,-0.982066,-0.039697,0.117902,-0.992231,0.029,0.141,0.07,-0.178,0.106,0.21,0,0,0,0,0,0.03,0,0,0,0,0.1,0,0.11,0.1,0.77,0.05
0.045293,0.005579,-0.998958,-0.163089,0.021923,-0.986368,-0.059,0.014,-0.087,0.017,-0.024,0.03,0,0,0.2,0,0.81,0.05,0,0,0,0,0.03,0,0,0.32,0.18,0.02
0.167241,-0.088495,-0.981936,0.015633,-0.117019,-0.993007,0.092,-0.104,-0.104,-0.112,0.052,0,0,0.08,0.05,0,0,0,0,0,0,0.35,0.86,0,0.05,0.25,0.5,0
0.047884,0.118614,-0.991785,-0.069145,0.079977,-0.994396,-0.011,0.1,-0.04,-0.045,-0.01,0,0,0.01,0.02,0,0.04,0,0,0,0,0.16,0,0,0,0.47,0,0
0.056948,-0.183515,-0.981366,-0.068305,-0.269271,-0.960639,-0.006,-0.229,-0.371,-0.006,0.054,1.8,0.23,0,0.39,0,1.78,0.21,0,0,0,0,0.04,0.86,0.18,0,0,0
0.060066,0.103992,-0.992763,-0.115481,0.103552,-0.987897,-0.028,0.104,0.08,0.074,-0.003,0,0,0.54,0,2.05,1.43,0.51,0.81,2.14,2.27,0,0,0.3,0.26,0.24,0.07,0
0.007087,-0.022964,-0.999711,-0.175484,-0.028371,-0.984073,-0.085,-0.026,-0.156,0.047,-0.007,0.12,0,0,0,0,0.19,0.07,0,0,0,0.28,0,0.01,0,0.02,0,0.08
0.059666,0.197848,-0.978415,-0.08882,0.203758,-0.974984,-0.015,0.203,0.179,0,0.027,0,0.01,0.09,0,0,0,0,0,0,0,0,0.37,0,0,0.22,0.16,0.29
0.106247,-0.034006,-0.993758,-0.011049,-0.064977,-0.997826,0.048,-0.05,-0.123,-0.107,0.054,0,0.13,0,0,0,0,0,0,0,0,0,0.79,0,0,0.38,0.53,0.03
0.005515,-0.012463,-0.999907,-0.182645,-0.032112,-0.982654,-0.089,-0.022,-0.105,0.048,0.032,0,0.04,0,0.23,0,0.74,0,0,0,0,0,0.52,0.04,0.4,0.32,1.03,0
0.051474,0.040272,-0.997862,-0.106807,0.046829,-0.993176,-0.028,0.044,0.009,0.066,-0.018,0.01,0,1,0.18,0,0,0,0,0,0.01,0.01,0.19,0,0,0.32,0,0.06
0.130221,0.043699,-0.990522,-0.019701,0.039051,-0.999043,0.055,0.042,-0.039,-0.058,0.072,0,0,0,0,0,1.26,0.15,0,0,0,0,0.55,0.17,0,0.26,0.38,0
0.143763,-0.056989,-0.98797,-0.018749,-0.10204,-0.994604,0.063,-0.08,-0.128,-0.092,0.084,0.24,0,0,0.41,0,0,0,0,0,0,0.15,0.4,0,0.04,0.2,0.18,0
0.083096,0.004891,-0.99653,-0.100894,0.012443,-0.994819,-0.009,0.009,-0.102,0.063,-0.024,0.13,0.16,0.21,0,0,0.32,0.08,0,0,0,0.06,0.07,0.06,0,0.19,0.09,0.46
0.020426,0.158613,-0.98713,-0.086608,0.127192,-0.98809,-0.033,0.144,0.057,0.007,0.048,0.37,0.67,0,0,0,0,0,0,0,0,0.18,0.2,0.01,0,0.51,0.07,0.25
0.086583,0.016428,-0.996109,-0.091544,0.023696,-0.995519,-0.002,0.02,-0.069,0.051,-0.025,0,0.01,0.21,0,0,0,0.05,0,0,0,0.1,0.26,0,0,0.28,0.03,0.07
0.081695,-0.005209,-0.996644,-0.090715,0.000447,-0.995877,-0.005,-0.002,-0.089,0.054,-0.016,0.07,0.07,0.07,0,0,0,0.01,0,0,0,0.24,0.4,0,0,0.19,0,0
-0.036022,0.221982,-0.974385,-0.166867,0.202327,-0.964997,-0.104,0.215,0.144,0.111,-0.008,0.74,0.52,1.27,0,0.03,0.28,0,0,0,0.51,0.14,0.47,0,0,0.29,1.08,0.81
0.051885,0.044657,-0.997654,-0.107896,0.027985,-0.993768,-0.028,0.036,-0.034,-0.023,-0.034,0,0,0,0.07,0,0,0,0,0,0,0.07,0.23,0,0.22,0,0.44,0
0.06684,0.181428,-0.98113,0.002017,0.20778,-0.978174,0.035,0.196,0.143,0.079,0.013,0,0,1.03,0.04,0,0,0,0,0,0.37,0,0.37,0,0,0,0.18,0
0.088127,-0.007743,-0.996079,-0.088344,-0.002095,-0.996088,0,-0.005,-0.1,0.049,-0.018,0.02,0,0.04,0,0,0,0.03,0,0,0,0.44,0.05,0,0,0.19,0,0
0.017465,0.193734,-0.980899,-0.016289,0.164952,-0.986167,0.001,0.18,0.15,0.062,0.01,0.35,0.01,0.87,0,0,0.32,0.01,0,0,0.49,0.37,0.74,0.02,0,0,0.59,0
0.066472,0.000254,-0.997788,-0.14156,-0.060033,-0.988108,-0.038,-0.03,-0.099,-0.107,0.107,0.4,0,0.02,0,0,0,0,0,0,0,0,0,0.39,0,0.3,1.12,0
