"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r","State"
0.079203,0.075228,-0.994016,-0.080353,0.059011,-0.995018,-0.001,0.067,-0.168,-0.019,-0.011,0,0,0.1,0,0,1.29,0.14,0,0,0,0.05,0.66,0,0,0.19,1.01,2.42,100
0.085858,-0.007812,-0.996277,-0.095445,-0.001725,-0.995433,-0.005,-0.005,-0.116,0.057,-0.019,0.06,0,0.3,0,0,0.08,0.27,0,0,0,0,0,0.04,0,0.21,0.05,0.18,100
0.294165,0.453476,-0.841324,-0.269865,0.479177,-0.835202,0.014,0.508,0.396,0.055,-0.115,0,1.18,0.14,0,0.05,0.28,0.99,0,0,0,0,0,0,0,0.71,0,1.76,-100
0.021144,-0.277989,-0.960352,-0.144196,-0.225804,-0.963442,-0.064,-0.256,-0.458,0.064,-0.031,1.54,1.56,0.1,0.2,0,0.68,0,0,0,0,0.18,1.62,0.28,2.56,0.26,1.06,0,-100
0.105511,0.057773,-0.992738,-0.062147,0.061339,-0.99618,0.022,0.06,-0.016,-0.01,0.004,0.16,0.15,0,0,0,0,0,0,0,0,0.2,0,0,0,0.45,0,0.02,100
-0.165601,0.001116,-0.986192,-0.355006,-0.05702,-0.933123,-0.265,-0.029,-0.189,0.26,0.008,0,0,0.01,0,0,0.47,0,0,0,0,0,1.87,0,0.17,0.36,0.69,0.49,-100
0.116616,0.012225,-0.993102,-0.030348,-0.006877,-0.999516,0.043,0.003,-0.095,-0.043,0.134,0.18,0,0,0,0,1.12,0.76,0,0,0,0.02,0,0.33,0,0.55,0.03,0.05,100
0.491183,0.373038,-0.787135,0.49116,0.373033,-0.787152,0.558,0.443,-0.388,0.409,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
0.11432,-0.111428,-0.987175,-0.072194,-0.144589,-0.986855,0.021,-0.129,-0.221,-0.03,0.045,0.33,0,0,0.05,0,1.35,0,0,0,0,0,0,0.06,0.44,0.09,0,0.01,100
0.017583,-0.069434,-0.997432,-0.153249,-0.086377,-0.984405,-0.068,-0.078,-0.19,-0.009,0.103,0.04,0,0.03,0,0,1.14,0,0,0,0,0,0,0.1,0.33,0.04,0.06,0.35,100
0.099975,-0.032918,-0.994445,-0.008659,-0.068518,-0.997612,0.046,-0.051,-0.126,-0.085,0.055,0,0.05,0.01,0,0,0.13,0,0,0,0,0.2,0.54,0,0.06,0.18,0.36,0,100
0.082213,-0.033191,-0.996062,-0.096436,-0.028356,-0.994935,-0.007,-0.031,-0.137,0.06,-0.019,0.11,0,0.11,0,0,0.47,0.15,0,0,0,0.12,0,0,0,0,0.02,0.11,100
0.490218,0.113072,-0.864235,0.393152,0.035655,-0.918782,0.46,0.083,-0.149,-0.502,0.165,0.71,0,0,0,1.02,1.71,0,0.05,0,0,0,0,0,0,3.55,3.7,0,-100
0.010213,0.00566,-0.999932,-0.148667,-0.019071,-0.988703,-0.07,-0.007,-0.057,0.004,0.055,0.02,0,0,0,0,0.67,0,0,0,0,0,0.31,0,0.01,0.06,0.15,0.01,100
0.088236,-0.014208,-0.995998,-0.087433,-0.008646,-0.996133,0,-0.011,-0.101,0.047,-0.018,0.01,0.05,0.02,0,0,0,0.02,0,0,0,0.27,0.06,0,0,0,0,0,100
0.169659,-0.041,-0.98465,0.018919,-0.041049,-0.998978,0.095,-0.041,-0.076,-0.12,0.099,0.02,0,0.03,0,0,0.64,0.07,0,0,0,0.27,0.64,0,0,0,0.53,0.22,100
0.029492,-0.043744,-0.998607,-0.102147,-0.037852,-0.994049,-0.036,-0.041,-0.101,-0.009,-0.047,0.13,0.04,0,0,0,0,0,0,0,0,0.01,1.19,0,0.19,0,0.99,0.01,100
0.100055,-0.036747,-0.994303,-0.006519,-0.062207,-0.998042,0.047,-0.05,-0.117,-0.106,0.056,0.03,0,0,0,0,0.07,0,0,0,0,0.11,0.67,0.16,0,0.3,0.25,0,100
0.511991,0.009439,-0.858939,0.372465,-0.018104,-0.92787,0.46,-0.005,-0.075,-0.569,0.091,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0.31,0.87,0.07,-100
0.075102,0.144753,-0.986614,-0.074759,0.13762,-0.98766,0,0.142,0.102,-0.08,0.03,0,0.1,0.07,0,0,0,0,0,0,0,0.09,0.14,0,0.01,0.7,0,0,100
0.097,-0.003434,-0.995278,-0.057475,-0.006719,-0.998324,0.02,-0.005,-0.101,-0.005,0.017,0,0,1.41,0.05,0,1.22,0.91,0,0,0,0,0.41,0.32,0.35,0,0,0.34,100
0.004229,0.063737,-0.997958,-0.175108,0.070018,-0.982056,-0.086,0.067,-0.071,0.052,-0.021,0.01,0,0.33,0,0,0.14,0,0,0,0,0.27,0.25,0,0,0.14,0.03,0.04,100
0.126845,-0.060283,-0.990089,-0.053255,-0.041398,-0.997722,0.037,-0.051,-0.181,-0.01,-0.058,0,0,3.13,0,1.01,2.37,0.15,0,0.02,0.02,0,0.01,0.93,0,1.73,0.09,0,-100
0.113285,-0.036327,-0.992898,-0.014305,-0.07758,-0.996884,0.05,-0.057,-0.266,0.122,0.281,0,0,0,0,0,0.73,0,0,0,0,0.32,2.19,0.52,0.04,0.06,0.51,0,-100
0.092398,-0.060623,-0.993875,-0.061367,-0.067861,-0.995806,0.016,-0.064,-0.168,-0.015,0.044,0.64,0,0,0.16,0,0.33,0.34,0,0,0,0,0.01,0.38,0,0.21,0,0,100
0.077046,0.191405,-0.978483,-0.080917,0.148326,-0.985623,-0.002,0.171,0.102,-0.106,0.054,0,0.03,0,0,0,0,0,0,0,0,0.19,0.03,0,0,0.48,0,0,100
