"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.054415,-0.124538,-0.990722,-0.116017,-0.11239,-0.986868,-0.031,-0.119,-0.314,0.069,0.101,1,0,1.01,0.11,0,3.53,0.13,0,0,0,0.85,2.92,0.14,0.67,0,0.26,0
0.146327,0.0539,-0.987767,-0.012945,0.050281,-0.998651,0.067,0.052,-0.017,-0.068,0.039,0.37,0.21,0,0,0,0,0.17,0,0,0,0.11,0,0,0,0.58,0,0
0.082902,-0.123973,-0.988816,-0.046502,-0.129316,-0.990512,0.018,-0.127,-0.299,-0.062,0.012,0.27,0,0,0,0,1.58,0,0,0,0,0.04,0.52,0,0,0.03,0.91,0.03
0.162532,-0.091509,-0.982451,0.006441,-0.099302,-0.995037,0.085,-0.096,-0.281,-0.133,0.029,0,0,0,0,0,0.62,0,0,0,0,0,1.22,0,0,0,0.56,0.23
0.030949,-0.041251,-0.998669,-0.099126,-0.039123,-0.994305,-0.034,-0.04,-0.106,-0.025,-0.04,0.2,0.27,0.04,0,0,0,0,0,0,0,0,0.9,0,0,0,0.52,0.01
-0.322193,-0.032137,-0.946128,-0.255947,-0.027403,-0.966302,-0.294,-0.031,-0.24,0.416,0.083,0,0,0.84,0,0.64,2.05,0.2,1.47,0.72,0.06,0,0.81,1.29,0.94,0.45,0.05,0
-0.081192,-0.150798,-0.985225,-0.225952,-0.159293,-0.961026,-0.157,-0.158,-0.368,0.227,-0.015,1.48,0.29,0.6,0.05,0.03,1.9,0.55,0,0,0,1.38,1.71,0.51,0.13,0.75,0.11,0
0.03604,0.073069,-0.996675,-0.101431,0.077212,-0.991842,-0.033,0.075,-0.034,-0.015,-0.028,0.09,0,0.1,0,0,0,0,0,0,0,0.27,1.34,0,0.09,0,0.71,0
-0.330786,-0.044814,-0.942641,-0.498291,-0.053237,-0.865374,-0.43,-0.054,-0.219,0.459,0.09,0,0,0.68,0,0,0,0,0.02,0,0,0,1.2,0,1.26,0.21,0.87,0
-0.015263,-0.074463,-0.997107,-0.171488,-0.093476,-0.980742,-0.094,-0.085,-0.308,0.088,0.033,0.64,0,0.12,0,0,1.32,0,0,0,0,0.08,0.1,0.84,0.03,0.17,1.05,0.91
-0.310312,-0.030057,-0.950159,-0.458139,-0.052559,-0.887325,-0.396,-0.045,-0.234,0.458,0.102,0,0,0.49,0,0,0,0,0.07,0,0,0,1.72,0,1.13,0.24,0.67,0
0.121964,-0.013231,-0.992446,-0.059207,-0.011595,-0.998178,0.032,-0.012,-0.128,0.034,-0.016,0.01,0,0.02,0.06,0,0.85,0,0,0,0,0.04,0.36,0.04,0.22,0.49,0.95,0.14
0.061593,-0.100667,-0.993012,-0.054898,-0.104672,-0.99299,0.003,-0.103,-0.286,-0.057,0.007,0.05,0,0,0,0,0.97,0.04,0,0,0,0,0.77,0,0,0,0.83,0
-0.053425,0.076046,-0.995672,-0.199878,0.149995,-0.968272,-0.128,0.115,0.02,0.289,-0.231,0,0,0,0,0,0.41,0.46,0.49,0,0,0,1.31,0,2.06,0,0.1,0.29
0.077762,-0.20132,-0.976434,-0.090171,-0.179208,-0.97967,-0.006,-0.192,-0.387,0.078,0.046,0,0,0,0,0,2.56,0.64,0,0,0,0,1.49,0.26,0,0.03,0.04,0.24
0.063638,-0.093151,-0.993616,-0.034906,-0.100445,-0.99433,0.014,-0.097,-0.32,-0.054,-0.001,0.13,0,0,0,0,1.52,0.02,0,0,0,0.11,1.05,0,0,0.03,0.71,0.11
0.087037,0.080858,-0.992918,-0.101006,0.043767,-0.993923,-0.007,0.063,0.007,-0.057,-0.049,0.15,0.48,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.55
0.63178,0.133721,-0.763527,0.46681,0.075367,-0.88114,0.589,0.126,0.067,-0.384,0.01,0.42,0.64,0.1,0.57,0,0,0,0,0,0,0,0.05,0,0,0,0.19,0
0.081696,-0.087805,-0.992782,-0.010622,-0.083751,-0.99643,0.036,-0.086,-0.199,-0.068,0.028,0,0.04,0,0.14,0,1.31,0,0,0,0,0.12,1.26,0,0,0.49,0.74,0.03
