"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.082172,-0.005844,-0.996601,-0.092046,-0.000221,-0.995755,-0.005,-0.003,-0.092,0.054,-0.015,0.01,0.09,0.11,0,0,0,0,0,0,0,0,0.07,0,0,0.13,0,0.01
0.04655,0.033758,-0.998345,-0.110935,0.039703,-0.993034,-0.032,0.037,0.008,0.071,-0.015,0.01,0,0.95,0,0,0,0,0,0,0,0,0.33,0,0,0.27,0.09,0
0.050084,0.077569,-0.995728,-0.117731,0.084499,-0.989444,-0.034,0.081,0.036,0.081,-0.027,0.14,0.03,1.14,0,0,0,0,0,0,0.22,0.02,0.33,0,0,0.36,0.17,0.69
0.04785,0.204999,-0.977592,-0.033881,0.161806,-0.986241,0.007,0.185,0.144,0.064,0.01,0.19,0.02,0.83,0,0,0.14,0,0,0,0.42,0.35,0.76,0,0,0,0.33,0
0.078998,0.048545,-0.995692,-0.070817,0.039768,-0.996696,0.004,0.044,-0.023,-0.018,0.102,0.16,0.03,0.01,0,0,0.71,0.21,0,0,0,0.33,0.35,0.21,0,0.69,0.39,0
0.11029,-0.053236,-0.992473,0.004351,-0.067589,-0.997704,0.058,-0.061,-0.126,-0.096,0.047,0.01,0,0.01,0,0,0.3,0.02,0,0,0,0.31,0.87,0.19,0,0,0.26,0.13
0.097933,-0.028225,-0.994793,-0.057278,-0.035143,-0.99774,0.02,-0.032,-0.125,-0.016,0.05,0.36,0,0,0,0,0.49,0.4,0,0,0,0,0,0,0,0.26,0,0
0.446983,0.081138,-0.890855,0.34268,0.037318,-0.938711,0.407,0.065,-0.213,-0.43,0.178,1.12,0.13,0,0,1.63,1.47,0,0.85,0.31,0.22,0,0,0.59,0,4.73,4.07,0.06
0.051465,0.060726,-0.996827,-0.102674,0.062546,-0.992747,-0.026,0.062,0.045,0.07,-0.029,0,0,0.69,0,0,0.17,0,0,0,1.39,0,0.32,0.07,0,0.15,0,0
0.065627,0.003118,-0.997839,-0.130012,-0.037409,-0.990806,-0.032,-0.017,-0.097,-0.002,-0.016,0,0.08,0,0.06,0,0.55,0,0,0,0,0.03,0.77,0,0.17,0.14,0.92,0.07
0.053699,0.202429,-0.977824,-0.077761,0.205785,-0.975503,-0.012,0.206,0.175,0,0.022,0,0.07,0.02,0,0,0.1,0,0,0,0,0,0.46,0,0,0.15,0.27,0.09
0.039705,0.063931,-0.997164,-0.113059,0.065156,-0.99145,-0.037,0.065,0.064,0.074,0.007,0,0,0.97,0,0.62,1.34,0.5,0,0.25,1.56,0,0,0.01,0,0.37,0.03,0
0.065816,0.034667,-0.997229,-0.083528,0.024639,-0.996201,-0.009,0.03,-0.041,0,0.108,0.28,0.07,0,0.02,0,1,0.21,0,0,0,0.17,0.31,0,0.01,0.78,0.46,0
0.076607,0.171748,-0.982158,-0.058307,0.200162,-0.978026,0.009,0.188,0.132,0.062,0.013,0.34,0.08,0.71,0,0,0.08,0,0,0,0.51,0.51,0.7,0,0,0,0.39,0.02
0.420945,0.218992,-0.880255,0.262868,0.08866,-0.96075,0.356,0.166,-0.113,-0.487,0.319,0,0,0,0,0,0.06,0,0.74,0,0,0.63,1.76,0.25,0,0,0.26,2.37
0.115193,0.157641,-0.980755,-0.007,0.12726,-0.991845,0.055,0.143,0.058,-0.169,0.102,0.32,0,0,0,0,0,0.32,0,0,0,0,0.21,0,0.09,0.98,0.89,0
0.051417,-0.224663,-0.973079,-0.107473,-0.297301,-0.948716,-0.029,-0.265,-0.471,-0.017,0.176,0.36,0,0,0.06,0,2.2,0.05,0,0,0,0,2.07,0.34,0,0,0,0.02
0.015699,0.147172,-0.988986,-0.041761,0.149904,-0.987818,-0.013,0.149,0.155,0.076,0.005,0,0,1.06,0.01,0,0.03,0,0,0,0.45,0,0.6,0,0,0,0.27,0
0.032075,0.235291,-0.971396,-0.069331,0.18197,-0.980857,-0.019,0.211,0.164,0.133,0.042,0.2,0,0.82,0,0,0.45,0,0,0,0.11,0.05,0.65,0.01,0.27,0,0.73,0.3
0.035494,0.055377,-0.997834,-0.11026,0.06177,-0.991981,-0.038,0.059,0.065,0.069,-0.005,0,0,1.06,0.11,0,0,0,0,0,0.43,0.12,0.39,0.01,0,0,0.02,0
0.045636,0.071263,-0.996413,-0.099654,0.002235,-0.99502,-0.027,0.037,-0.01,-0.075,0.186,0,0,0,0,0,0.44,0.13,0,0,0,0,0,0,0,0,0,0.02
-0.005508,0.197961,-0.980194,-0.13473,0.194924,-0.971521,-0.072,0.199,0.146,0.107,-0.006,0.35,0.24,0.85,0,0,0.4,0,0,0,1.16,0.01,0.58,0,0,0,0.53,0.18
0.103098,0.06066,-0.99282,-0.068065,0.065796,-0.995509,0.018,0.064,-0.015,-0.001,-0.004,0,0,0,0,0,0,0,0,0,0,0.32,0.08,0.28,0,0.44,0,0.5
0.062403,-0.233644,-0.970318,-0.134203,-0.20488,-0.969543,-0.037,-0.222,-0.439,0.008,0.035,1.17,1.09,0.6,0.23,0.11,1.39,0.24,0.16,0.04,0,0.59,1.14,0.07,1.02,1.03,0.15,0
0.012694,0.030012,-0.999469,-0.164078,-0.014078,-0.986347,-0.076,0.008,-0.041,-0.046,0.101,0.02,0.02,0,0.07,0,0.19,0,0,0,0,0,0.76,0,0,0.09,0.73,0.07
0.0241,-0.206514,-0.978147,-0.156464,-0.185808,-0.970048,-0.068,-0.199,-0.433,0.062,-0.029,1.3,0.45,0,0.35,0,1.35,0.25,0,0,0,0,0.38,0.11,0,0,0.01,0.71
-0.010028,0.15249,-0.988254,-0.040463,0.149908,-0.987872,-0.026,0.152,0.132,0.066,-0.001,0.3,0.2,0.87,0,0,0,0,0,0,0.42,0.06,0.67,0,0,0,0.48,0
0.090687,0.273065,-0.957712,-0.160804,0.306231,-0.938277,-0.037,0.297,0.12,0.102,0.026,0.63,0.09,1.22,0,0,0.4,0,0,0,0.26,0.24,0.15,0,0,0.2,0.42,2.19
0.17065,-0.061666,-0.9834,-0.081519,-0.059185,-0.994913,0.045,-0.061,-0.131,0.032,-0.01,0,0,0,0.6,0,0.4,0,0,0,0,0.02,0.35,0,0.57,0.41,0.79,0
-0.051344,0.053731,-0.997235,-0.422517,-0.002875,-0.906351,-0.244,0.027,-0.279,0.266,0.401,0,0,0.18,0.09,0,0.04,0,0,0,0,0,0.48,0,0.01,0.36,0,3.42
0.052788,0.04077,-0.997773,-0.094818,0.049521,-0.994262,-0.021,0.045,0.033,0.046,-0.017,0,0,0.73,0.37,0,0.25,0,0,0,0.18,0.14,0.26,0,0,0,0,0
0.06011,0.045202,-0.997168,-0.093219,0.052293,-0.994271,-0.017,0.049,0.02,0.038,-0.009,0.18,0,0.94,0.01,0,0.22,0,0,0,0.03,0.1,0.11,0,0,0,0.02,0
0.202629,-0.206205,-0.957299,0.005445,-0.177542,-0.984098,0.107,-0.195,-0.362,-0.129,0.009,1.08,1.01,0.33,0.94,0,1.07,0.08,0,0,0,1.29,1.96,0.88,2.26,0,0.27,0
0.084415,0.005767,-0.996414,-0.089462,0.013697,-0.995896,-0.003,0.01,-0.074,0.05,-0.024,0,0,0.34,0,0,0,0,0,0,0,0.33,0.08,0,0,0.44,0.09,0
0.454531,0.010588,-0.890668,0.29971,-0.004668,-0.954019,0.388,0.003,-0.102,-0.45,-0.004,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.84,0.54,0
0.082929,0.068923,-0.994169,-0.0834,0.070146,-0.994044,0,0.07,-0.007,0.006,0.023,0.22,0.01,0,0,0,0,0,0,0,0,0.11,0,0.24,0,0.55,0,0.04
0.414721,0.08283,-0.906171,0.277216,0.028442,-0.960387,0.355,0.06,-0.168,-0.412,0.178,0.33,0.33,0,0,2.39,2.82,0,1.16,0.79,0.28,0,0,0.19,0,5,4.03,0
0.075646,-0.011977,-0.997063,-0.136349,-0.072785,-0.987983,-0.031,-0.043,-0.194,-0.008,-0.021,0.35,0.11,0.38,0,0,0.69,0.01,0,0,0,0,0.13,0,0,0.08,0.06,1.07
0.061553,-0.302516,-0.951155,-0.094176,-0.245462,-0.964821,-0.017,-0.279,-0.541,0.071,-0.139,0.62,0.42,0,0,1.12,0.92,0,1.4,0.47,0,1.38,3.1,0,0.96,0.19,0.26,0
0.054025,0.043638,-0.997586,-0.087526,0.023092,-0.995895,-0.017,0.033,-0.042,-0.028,0.093,0.09,0.47,0,0,0,1.03,0.15,0,0,0,0,0,0,0,0.28,0,0
0.06655,0.059885,-0.995984,-0.079222,0.029883,-0.996409,-0.006,0.045,-0.019,-0.004,0.24,0,0,0,0.14,0,0.91,0.45,0,0,0,0.05,0.38,0.22,0,0.87,0.51,0
-0.010235,0.063713,-0.997916,-0.160655,0.065825,-0.984813,-0.086,0.065,0.078,0.125,0.047,0,0,0.78,0.35,0,0.08,0,0,0,0.23,0.12,0.39,0.02,0.57,0.28,0.18,0
0.169659,-0.041,-0.98465,0.018919,-0.041049,-0.998978,0.095,-0.041,-0.076,-0.12,0.099,0.02,0,0.03,0,0,0.64,0.07,0,0,0,0.27,0.64,0,0,0,0.53,0.22
0.031827,-0.1304,-0.99095,-0.117715,-0.150146,-0.981631,-0.044,-0.141,-0.369,0.043,-0.075,0.48,0,0,0,0,1.46,0,0,0,0,0.37,1.47,0,0,0.15,0.19,0
0.085655,0.011639,-0.996257,-0.090303,0.019128,-0.995731,-0.002,0.015,-0.071,0.05,-0.025,0,0.13,0.13,0,0,0.02,0.1,0,0,0,0.2,0.15,0,0,0.26,0.04,0.05
0.058696,0.197467,-0.978551,-0.028497,0.23009,-0.972752,0.015,0.216,0.096,0.051,-0.003,0.55,0.36,1.14,0,0,0.68,0.09,0,0,0.22,0.14,0.06,0,0,0.14,0.96,0.26
0.56425,0.056021,-0.823701,0.44042,-0.133755,-0.887772,0.531,-0.045,-0.208,-0.463,0.21,0,0,0,0,0,0,0,0.45,0,0,0.56,0.95,0.32,0,0.19,0.45,0.09
-0.035605,-0.180465,-0.982937,-0.203537,-0.142707,-0.968611,-0.122,-0.164,-0.386,0.2,-0.109,1.04,0.08,1.37,0,0.68,2.38,0.44,0.32,0.17,0,0.52,1.38,0.08,0.01,0.12,0.54,0
0.498903,0.240842,-0.832521,0.291822,0.017941,-0.956304,0.416,0.144,-0.11,-0.495,0.359,0,0,0,0,0,0,0,0.9,0,0,0.44,1.3,1.05,0,0.04,0.54,1.59
0.063725,0.0596,-0.996186,-0.087899,0.060807,-0.994272,-0.012,0.06,0.049,0.039,-0.001,0,0,0.78,0,0.59,1.18,0,0,0.69,1.71,0,0.34,0.27,1.11,0.21,0.45,0
0.052332,0.173047,-0.983522,-0.02742,0.219659,-0.975191,0.013,0.198,0.14,0.109,0.014,0.05,0,0.93,0,0.01,0.69,0,0,0,0.54,0,0.15,0,0,0.65,0.73,0
