FrameNumber,EAR,EyeState
1,0.313667233,Open
2,0.320236785,Open
3,0.324840631,Open
4,0.318275803,Open
5,0.31221362,Open
6,0.320764168,Open
7,0.317414192,Open
8,0.324254295,Open
9,0.312121272,Open
10,0.317414192,Open
11,0.320654397,Open
12,0.304169176,Open
13,0.314809726,Open
14,0.322968431,Open
15,0.319331213,Open
16,0.329214379,Open
17,0.345757975,Open
18,0.33542372,Open
19,0.306446296,Open
20,0.312135364,Open
21,0.302147706,Open
22,0.314029563,Open
23,0.296828008,Open
24,0.298645531,Open
25,0.301597431,Open
26,0.300604496,Open
27,0.298644222,Open
28,0.290956025,Open
29,0.280763988,Open
30,0.294705806,Open
31,0.297456241,Open
32,0.278570162,Open
33,0.267718504,Open
34,0.278589963,Open
35,0.277394832,Open
36,0.267148065,Open
37,0.271063958,Open
38,0.249006272,Open
39,0.248966123,Open
40,0.245661547,Open
41,0.25325676,Open
42,0.259204825,Open
43,0.23437887,Open
44,0.242338341,Open
45,0.245610467,Open
46,0.247473379,Open
47,0.220889457,Open
48,0.213804677,Open
49,0.221468764,Open
50,0.232664702,Open
51,0.247666736,Open
52,0.255612552,Open
53,0.250898858,Open
54,0.248393398,Open
55,0.259691384,Open
56,0.249661661,Open
57,0.25177913,Open
58,0.259229321,Open
59,0.234087055,Open
60,0.191515126,Blink
61,0.149644955,Blink
62,0.132077973,Blink
63,0.160607922,Blink
64,0.168456656,Blink
65,0.180113314,Blink
66,0.192870971,Blink
67,0.202275952,Blink
68,0.18613747,Open
69,0.193122811,Open
70,0.190433683,Open
71,0.20470489,Open
72,0.218896319,Open
73,0.19808692,Open
74,0.214533234,Open
75,0.22273964,Open
76,0.208102227,Open
77,0.228954084,Open
78,0.231558878,Open
79,0.228410867,Open
80,0.255353163,Open
81,0.251804239,Open
82,0.257134157,Open
83,0.257396722,Open
84,0.248669388,Open
85,0.269340682,Open
86,0.268510092,Open
87,0.263150346,Open
88,0.27427937,Open
89,0.272220343,Open
90,0.259815305,Open
91,0.271280151,Open
92,0.282832916,Open
93,0.281979169,Open
94,0.271509549,Open
95,0.268056818,Open
96,0.284179606,Open
97,0.281118704,Open
98,0.28978847,Open
99,0.279794983,Open
100,0.288202711,Open
101,0.290796122,Open
102,0.294366987,Open
103,0.280658657,Open
104,0.292647977,Open
105,0.297590672,Open
106,0.289861482,Open
107,0.30234826,Open
108,0.296592346,Open
109,0.300817451,Open
110,0.30110498,Open
111,0.299767174,Open
112,0.3013128,Open
113,0.303960942,Open
114,0.302967062,Open
115,0.302731599,Open
116,0.314700067,Open
117,0.305154228,Open
118,0.291250988,Open
119,0.304167699,Open
120,0.312700879,Open
121,0.308801985,Open
122,0.321893991,Open
123,0.326810263,Open
124,0.307940375,Open
125,0.306593778,Open
126,0.324331906,Open
127,0.336530872,Open
128,0.323596009,Open
129,0.317114249,Open
130,0.314692856,Open
131,0.313001069,Open
132,0.331909517,Open
133,0.320691279,Open
134,0.332974885,Open
135,0.325899919,Open
136,0.327780392,Open
137,0.342125069,Open
138,0.331318477,Open
139,0.342974861,Open
140,0.339665412,Open
141,0.329076615,Open
142,0.342492389,Open
143,0.348797386,Open
144,0.332029574,Open
145,0.334490072,Open
146,0.331474716,Open
147,0.355617916,Open
148,0.348271546,Open
149,0.331943371,Open
150,0.329161902,Open
151,0.318515867,Open
152,0.336078436,Open
153,0.327108982,Open
154,0.327459037,Open
155,0.313709286,Open
156,0.31863737,Open
157,0.319835717,Open
158,0.329666462,Open
159,0.328729671,Open
160,0.326819018,Open
161,0.335359618,Open
162,0.339812395,Open
163,0.313543629,Open
164,0.318418973,Open
165,0.324950638,Open
166,0.3306587,Open
167,0.321345085,Open
168,0.296332912,Open
169,0.161705253,Blink
170,0.138355253,Blink
171,0.156301206,Blink
172,0.172617802,Blink
173,0.222509916,Open
174,0.251049322,Open
175,0.268696193,Open
176,0.301708191,Open
177,0.295011878,Open
178,0.287833453,Open
179,0.298640051,Open
180,0.295572013,Open
181,0.303178062,Open
182,0.312842068,Open
183,0.309411108,Open
184,0.320705576,Open
185,0.31906786,Open
186,0.307148546,Open
187,0.302309754,Open
188,0.310259333,Open
189,0.314846917,Open
190,0.309348262,Open
191,0.315502095,Open
192,0.314928823,Open
193,0.331373483,Open
194,0.318042936,Open
195,0.317888956,Open
196,0.323629989,Open
197,0.34273463,Open
198,0.317314929,Open
199,0.327977641,Open
200,0.314908889,Open
201,0.30706811,Open
202,0.32141316,Open
203,0.318616745,Open
204,0.326479517,Open
205,0.336328566,Open
206,0.332372168,Open
207,0.32119795,Open
208,0.329407787,Open
209,0.337357276,Open
210,0.338573359,Open
211,0.333454661,Open
212,0.33604696,Open
213,0.32854938,Open
214,0.32854938,Open
215,0.327220039,Open
216,0.334088173,Open
217,0.337204438,Open
218,0.320210861,Open
219,0.331986622,Open
220,0.327535323,Open
221,0.324684432,Open
222,0.319589247,Open
223,0.325964739,Open
224,0.322897653,Open
225,0.323944085,Open
226,0.268476113,Open
227,0.178785733,Blink
228,0.140206976,Blink
229,0.120519468,Blink
230,0.12239439,Blink
231,0.112970684,Blink
232,0.115931262,Blink
233,0.115979651,Blink
234,0.119279502,Blink
235,0.109217686,Blink
236,0.118211172,Blink
237,0.121903331,Blink
238,0.117012132,Blink
239,0.174831079,Blink
240,0.155614951,Blink
241,0.153166705,Blink
242,0.160163525,Blink
243,0.148248752,Blink
244,0.166417076,Blink
245,0.169903254,Blink
246,0.147775058,Blink
247,0.104241561,Blink
248,0.082764013,Blink
249,0.118816659,Blink
250,0.138658927,Blink
251,0.130095636,Blink
252,0.13015656,Blink
253,0.13232059,Blink
254,0.120658015,Blink
