FrameNumber,EAR,EyeState
,0.307671147,Open
,0.313667233,Open
,0.320236785,Open
,0.324840631,Open
,0.318275803,Open
,0.31221362,Open
,0.320764168,Open
,0.317414192,Open
,0.324254295,Open
,0.312121272,Open
,0.317414192,Open
,0.320654397,Open
,0.304169176,Open
,0.314809726,Open
,0.322968431,Open
,0.319331213,Open
,0.329214379,Open
,0.345757975,Open
,0.33542372,Open
,0.306446296,Open
,0.312135364,Open
,0.302147706,Open
,0.314029563,Open
,0.296828008,Open
,0.298645531,Open
,0.301597431,Open
,0.300604496,Open
,0.298644222,Open
,0.290956025,Open
,0.280763988,Open
,0.294705806,Open
,0.297456241,Open
,0.278570162,Open
,0.267718504,Open
,0.278589963,Open
,0.277394832,Open
,0.267148065,Open
,0.271063958,Open
,0.249006272,Open
,0.248966123,Open
,0.245661547,Open
,0.25325676,Open
,0.259204825,Open
,0.23437887,Open
,0.242338341,Open
,0.245610467,Open
,0.247473379,Open
,0.220889457,Open
,0.213804677,Open
,0.221468764,Open
,0.232664702,Open
,0.247666736,Open
,0.255612552,Open
,0.250898858,Open
,0.248393398,Open
,0.259691384,Open
,0.249661661,Open
,0.25177913,Open
,0.259229321,Open
,0.234087055,Open
,0.191515126,Blink
,0.149644955,Blink
,0.132077973,Blink
,0.160607922,Blink
,0.168456656,Blink
,0.180113314,Blink
,0.192870971,Blink
,0.202275952,Blink
,0.18613747,Open
,0.193122811,Open
,0.190433683,Open
,0.20470489,Open
,0.218896319,Open
,0.19808692,Open
,0.214533234,Open
,0.22273964,Open
,0.208102227,Open
,0.228954084,Open
,0.231558878,Open
,0.228410867,Open
,0.255353163,Open
,0.251804239,Open
,0.257134157,Open
,0.257396722,Open
,0.248669388,Open
,0.269340682,Open
,0.268510092,Open
,0.263150346,Open
,0.27427937,Open
,0.272220343,Open
,0.259815305,Open
,0.271280151,Open
,0.282832916,Open
,0.281979169,Open
,0.271509549,Open
,0.268056818,Open
,0.284179606,Open
,0.281118704,Open
,0.28978847,Open
,0.279794983,Open
,0.288202711,Open
,0.290796122,Open
,0.294366987,Open
,0.280658657,Open
,0.292647977,Open
,0.297590672,Open
,0.289861482,Open
,0.30234826,Open
,0.296592346,Open
,0.300817451,Open
,0.30110498,Open
,0.299767174,Open
,0.3013128,Open
,0.303960942,Open
,0.302967062,Open
,0.302731599,Open
,0.314700067,Open
,0.305154228,Open
,0.291250988,Open
,0.304167699,Open
,0.312700879,Open
,0.308801985,Open
,0.321893991,Open
,0.326810263,Open
,0.307940375,Open
,0.306593778,Open
,0.324331906,Open
,0.336530872,Open
,0.323596009,Open
,0.317114249,Open
,0.314692856,Open
,0.313001069,Open
,0.331909517,Open
,0.320691279,Open
,0.332974885,Open
,0.325899919,Open
