Frame,EAR,State
,0.373517703,Open
,0.352346639,Open
,0.351274491,Open
,0.352389448,Open
,0.34838202,Open
,0.340351094,Open
,0.351331649,Open
,0.336284981,Open
,0.356657396,Open
,0.351657597,Open
,0.359067159,Open
,0.359235133,Open
,0.366353412,Open
,0.36577698,Open
,0.366353412,Open
,0.373440372,Open
,0.367288423,Open
,0.343989251,Open
,0.358800451,Open
,0.34214209,Open
,0.352366813,Open
,0.358385328,Open
,0.34777356,Open
,0.362799783,Open
,0.35706198,Open
,0.358056772,Open
,0.356396899,Open
,0.333633449,Open
,0.304992677,Open
,0.293541125,Open
,0.30241212,Open
,0.301113407,Open
,0.313456131,Open
,0.296751486,Open
,0.281186729,Open
,0.285088203,Open
,0.302034448,Open
,0.302731232,Open
,0.302731232,Open
,0.304731216,Open
,0.284656349,Open
,0.284872195,Open
,0.289219104,Open
,0.280898851,Open
,0.280795067,Open
,0.277566218,Open
,0.288733477,Open
,0.304063016,Open
,0.289245247,Open
,0.292842529,Open
,0.28126491,Open
,0.31172219,Open
,0.297628378,Open
,0.305481835,Open
,0.311278302,Open
,0.292553405,Open
,0.286889885,Open
,0.289245247,Open
,0.303150624,Open
,0.314850601,Open
,0.318882548,Open
,0.302034448,Open
,0.318535541,Open
,0.305299109,Open
,0.323390171,Open
,0.354304804,Open
,0.370283021,Open
,0.372946762,Open
,0.368814856,Open
,0.375668331,Open
,0.380310591,Open
,0.371954499,Open
,0.370986611,Open
,0.372307335,Open
,0.357584637,Open
,0.373192992,Open
,0.367897518,Open
,0.366058267,Open
,0.352883699,Open
,0.382679256,Open
,0.385291091,Open
,0.381341745,Open
,0.357345192,Open
,0.365094287,Open
,0.358485245,Open
,0.363978988,Open
,0.366910831,Open
,0.350256124,Open
,0.366583388,Open
,0.358407914,Open
,0.358774761,Open
,0.374139332,Open
,0.365910211,Open
,0.358170304,Open
,0.358894309,Open
,0.358707364,Open
,0.340918226,Open
,0.336575812,Open
,0.346145539,Open
,0.322372371,Open
,0.334119998,Open
,0.320369601,Open
,0.34335287,Open
,0.344813238,Open
,0.342156818,Open
,0.350013465,Open
,0.344813238,Open
,0.349178931,Open
,0.343390634,Open
,0.343047619,Open
,0.343390634,Open
,0.357408052,Open
,0.35436848,Open
,0.346499232,Open
,0.330595312,Open
,0.338338588,Open
,0.349141167,Open
,0.340068444,Open
,0.363956502,Open
,0.351079241,Open
,0.343090552,Open
,0.351695934,Open
,0.355886889,Open
,0.344371237,Open
,0.354941809,Open
,0.38005643,Open
,0.378560697,Open
,0.352967056,Open
,0.368279645,Open
,0.346865833,Open
,0.358837183,Open
,0.35150548,Open
,0.336817369,Open
,0.312594734,Open
,0.1930195,Blink
,0.069443737,Blink
,0.088220232,Blink
,0.057440777,Open
,0.056255861,Open
,0.186084802,Open
,0.222224859,Open
,0.24212651,Open
,0.250746458,Open
,0.246151131,Open
,0.254892154,Open
,0.254937953,Open
,0.25874571,Open
,0.257693964,Open
,0.27004619,Open
,0.250392496,Open
,0.26624233,Open
,0.254887261,Open
,0.254042853,Open
,0.266256105,Open
,0.270885282,Open
,0.278769777,Open
,0.274060175,Open
,0.290180857,Open
,0.282279737,Open
,0.289783269,Open
,0.281161195,Open
,0.27129663,Open
,0.278868912,Open
,0.281386893,Open
,0.282424026,Open
,0.291901168,Open
,0.298333794,Open
,0.302166041,Open
,0.310503378,Open
,0.333759681,Open
,0.34157948,Open
,0.325666417,Open
,0.334923985,Open
,0.328851509,Open
,0.336015139,Open
,0.318064534,Open
,0.326566706,Open
,0.336015139,Open
,0.321323765,Open
,0.315726151,Open
,0.323003245,Open
,0.315395859,Open
,0.305457494,Open
,0.261496266,Open
,0.253911145,Open
,0.263805367,Open
,0.253911145,Open
,0.25437242,Open
,0.273326569,Open
,0.27380872,Open
,0.257753055,Open
,0.278104522,Open
,0.267920879,Open
,0.278738852,Open
,0.255170841,Open
,0.277885186,Open
,0.265768064,Open
,0.262483277,Open
,0.170683953,Blink
,0.052068086,Blink
,0.024299885,Blink
,0.042558749,Open
,0.038476792,Open
,0.06681267,Open
,0.143693584,Open
,0.192622043,Open
,0.247087814,Open
,0.253965176,Open
,0.250895565,Open
,0.250393747,Open
,0.242906254,Open
,0.258259321,Open
,0.258494696,Open
,0.274087625,Open
,0.295463846,Open
,0.291145201,Open
,0.295136189,Open
,0.2876388,Open
,0.299386374,Open
,0.299169098,Open
,0.310306021,Open
,0.306568804,Open
,0.325277522,Open
,0.320569458,Open
,0.331644713,Open
,0.322612382,Open
,0.325666417,Open
,0.31223394,Open
,0.327019088,Open
,0.312192582,Open
,0.318481976,Open
,0.324079634,Open
,0.315166675,Open
,0.317920308,Open
,0.309688248,Open
,0.305200659,Open
,0.290287728,Open
,0.305369831,Open
,0.305510276,Open
,0.290305156,Open
,0.282026315,Open
,0.281392827,Open
,0.288959175,Open
,0.290484804,Open
,0.281161195,Open
,0.292866989,Open
,0.284731318,Open
,0.269806095,Open
,0.269806095,Open
,0.265748397,Open
,0.270561068,Open
,0.266752032,Open
,0.277381555,Open
,0.269108073,Open
,0.289152869,Open
,0.284505621,Open
,0.261819935,Open
,0.283138208,Open
,0.277438764,Open
,0.270263674,Open
,0.274613743,Open
,0.288733477,Open
,0.27379077,Open
,0.287140379,Open
,0.277381555,Open
,0.261060288,Open
,0.277381555,Open
,0.274752115,Open
,0.269343431,Open
,0.26290206,Open
,0.277155858,Open
,0.287309277,Open
,0.281580587,Open
,0.289403063,Open
,0.282315466,Open
,0.282026315,Open
,0.277381555,Open
,0.273745961,Open
,0.281806285,Open
,0.277788623,Open
,0.286074694,Open
,0.28517774,Open
,0.277788623,Open
,0.279736995,Open
,0.262264543,Open
,0.262266784,Open
,0.243706089,Open
,0.058911208,Blink
,0.035130612,Blink
,0.020962029,Blink
,0.040642097,Open
,0.028297904,Open
,0.134568459,Open
,0.189267018,Open
,0.243442215,Open
,0.258852148,Open
,0.239828454,Open
,0.238614801,Open
,0.255156887,Open
,0.255827124,Open
,0.248016943,Open
,0.248016943,Open
,0.235143948,Open
,0.243752708,Open
,0.254687892,Open
,0.240218889,Open
,0.238501059,Open
,0.250944589,Open
,0.251002038,Open
,0.251002038,Open
,0.251520565,Open
,0.254887261,Open
,0.267091828,Open
,0.278371249,Open
,0.254189717,Open
,0.281225914,Open
,0.301877088,Open
,0.300572242,Open
,0.305956004,Open
,0.310183628,Open
,0.305412415,Open
,0.320613191,Open
,0.313332988,Open
,0.313542007,Open
,0.31524695,Open
,0.3254662,Open
,0.32385045,Open
,0.321497545,Open
,0.311058858,Open
,0.330763361,Open
,0.33444091,Open
,0.317219908,Open
,0.326186368,Open
,0.341625639,Open
,0.341625639,Open
,0.307933158,Open
,0.323144174,Open
,0.328007696,Open
,0.336015139,Open
,0.316262381,Open
,0.349502055,Open
,0.346422626,Open
,0.351539318,Open
,0.33887775,Open
,0.311019857,Open
,0.335998474,Open
,0.328007696,Open
,0.341587875,Open
,0.339125729,Open
,0.329278429,Open
,0.331722047,Open
,0.346549171,Open
,0.339109954,Open
,0.322759199,Open
,0.228066894,Open
,0.091343911,Blink
,0.035969864,Blink
,0.059103727,Blink
,0.047501397,Open
,0.053829219,Open
,0.058056194,Open
,0.035404055,Open
,0.050453091,Open
,0.045426465,Open
,0.014565445,Open
,0.024857776,Open
,0.03357767,Open
,0.086759399,Open
,0.115188552,Open
,0.177045098,Open
,0.190353011,Open
,0.215937186,Open
,0.227117717,Open
,0.254406003,Open
,0.250850322,Open
,0.23881223,Open
,0.245843862,Open
,0.258463182,Open
,0.278972187,Open
,0.282901623,Open
,0.278539702,Open
,0.298032847,Open
,0.290287728,Open
,0.282472043,Open
,0.281771869,Open
,0.294703112,Open
,0.299169098,Open
,0.297197214,Open
,0.29740656,Open
,0.28988634,Open
,0.293657685,Open
,0.294136636,Open
,0.286388235,Open
,0.298953889,Open
,0.307909943,Open
,0.291622307,Open
,0.291371812,Open
,0.312197299,Open
,0.294379318,Open
,0.291577686,Open
,0.303175052,Open
,0.310472685,Open
,0.31375043,Open
,0.304969452,Open
,0.302275393,Open
,0.295809398,Open
,0.298226764,Open
,0.277155858,Open
,0.277827977,Open
,0.261260908,Open
,0.265485018,Open
,0.278008653,Open
,0.269108073,Open
,0.258723817,Open
,0.266480647,Open
,0.25537236,Open
,0.27486674,Open
,0.277155858,Open
,0.269108073,Open
,0.277155858,Open
,0.2782744,Open
,0.284731318,Open
,0.270213162,Open
,0.266645113,Open
,0.27065889,Open
,0.274334233,Open
,0.277833521,Open
,0.282341768,Open
,0.290991648,Open
,0.312927522,Open
,0.298925853,Open
,0.286107601,Open
,0.290656645,Open
,0.290385588,Open
,0.29416776,Open
,0.287383364,Open
,0.318093081,Open
,0.30229235,Open
,0.310132275,Open
,0.302257831,Open
,0.306562933,Open
,0.303749024,Open
,0.290656645,Open
,0.285643123,Open
,0.279276474,Open
,0.254934354,Open
,0.261777676,Open
,0.2504221,Open
,0.271284801,Open
,0.283308477,Open
,0.266488065,Open
,0.257552435,Open
,0.270778103,Open
,0.258723817,Open
,0.261089725,Open
,0.257994381,Open
,0.283698682,Open
